number,value,datetime_start,datetime_complete,duration,params_dropout_p,params_hidden_weights0,params_hidden_weights1,params_initializers,params_kernel1,params_kernel2,params_learning_rate,params_momentum,params_n_fc_layers,params_optimizer,params_weight_decays,state
88,1.144162356853485,2024-04-22 09:49:30.677375,2024-04-22 09:49:46.069425,0 days 00:00:15.392050,0.3200431325016161,810.0,604.0,True,4,4,0.0016815320862221333,0.9546011094063046,3,SGD,0.00016031921489932383,COMPLETE
89,1.3019149899482727,2024-04-22 09:49:46.069712,2024-04-22 09:50:01.495016,0 days 00:00:15.425304,0.38181641560819785,930.0,562.0,True,4,4,0.0009733381266224391,0.8727466378991622,3,SGD,9.769669279778211e-05,COMPLETE
90,1.1302580833435059,2024-04-22 09:50:01.495335,2024-04-22 09:50:16.823024,0 days 00:00:15.327689,0.3466937106865527,672.0,440.0,True,4,4,0.0013375690993795888,0.9653376042469627,3,SGD,0.00023006346036927278,COMPLETE
91,0.9297304749488831,2024-04-22 09:50:16.823308,2024-04-22 09:50:32.179583,0 days 00:00:15.356275,0.4207686664048532,731.0,375.0,True,4,4,0.0016124410442387611,0.9476961279967868,3,SGD,0.0001776932369891003,COMPLETE
92,1.1709298491477966,2024-04-22 09:50:32.179871,2024-04-22 09:50:47.582772,0 days 00:00:15.402901,0.0033848030765269432,741.0,368.0,True,4,4,0.0020708201160041704,0.9497921013646689,3,SGD,0.00017372615382960161,COMPLETE
93,1.0654127597808838,2024-04-22 09:50:47.583088,2024-04-22 09:51:02.898075,0 days 00:00:15.314987,0.39071408141934016,622.0,409.0,True,4,4,0.0011379599350109708,0.9588561525663442,3,SGD,0.00026274792750967846,COMPLETE
94,0.9848452806472778,2024-04-22 09:51:02.898371,2024-04-22 09:51:18.321663,0 days 00:00:15.423292,0.4177175209643944,761.0,506.0,True,4,4,0.0017621007731882772,0.9745763342154743,3,SGD,0.00012795709562552128,COMPLETE
95,1.029160976409912,2024-04-22 09:51:18.321951,2024-04-22 09:51:33.759461,0 days 00:00:15.437510,0.35733560275944776,819.0,689.0,True,4,4,0.0015557576173407155,0.9475339550270716,3,SGD,0.0003357768232189616,COMPLETE
96,0.9863850176334381,2024-04-22 09:51:33.759758,2024-04-22 09:51:49.118190,0 days 00:00:15.358432,0.373726778824289,720.0,454.0,True,4,4,0.0031526841847619846,0.9585992983403051,3,SGD,6.845430971499905e-05,COMPLETE
97,1.5140362977981567,2024-04-22 09:51:49.118477,2024-04-22 09:52:04.525479,0 days 00:00:15.407002,0.42361976011756663,658.0,353.0,True,4,4,0.0007469832065716336,,3,Adam,0.00010875552124225647,COMPLETE
98,0.9548111259937286,2024-04-22 09:52:04.525763,2024-04-22 09:52:19.791448,0 days 00:00:15.265685,0.33351718556690435,536.0,426.0,True,4,4,0.0020940433459126313,0.9376650570869928,3,SGD,0.00020184573231654278,COMPLETE
99,1.8630602955818176,2024-04-22 09:52:19.791765,2024-04-22 09:52:35.099917,0 days 00:00:15.308152,0.021005451049560975,519.0,417.0,False,4,4,0.0024794537551837493,0.9397051409425426,3,SGD,0.00019387510315223665,COMPLETE
100,1.189352810382843,2024-04-22 09:52:35.100204,2024-04-22 09:52:50.375068,0 days 00:00:15.274864,0.3358985889716607,575.0,,True,4,4,0.0021863040304531747,0.8534817507555408,2,SGD,0.0002124577980343484,COMPLETE
101,1.1598716974258423,2024-04-22 09:52:50.375386,2024-04-22 09:53:05.826158,0 days 00:00:15.450772,0.29714669123554205,758.0,385.0,True,4,4,0.001254931353470756,0.9366989267335621,3,SGD,0.0001629936044674456,COMPLETE
102,1.163317084312439,2024-04-22 09:53:05.826445,2024-04-22 09:53:21.125701,0 days 00:00:15.299256,0.3823965457741245,544.0,436.0,True,4,4,0.001660112740804207,0.9542676478456357,3,SGD,0.00014167694190589966,COMPLETE
103,1.0598797798156738,2024-04-22 09:53:21.126000,2024-04-22 09:53:36.480282,0 days 00:00:15.354282,0.39901843249667485,685.0,457.0,True,4,4,0.0028274050281882,0.9707473117977324,3,SGD,0.0002903149942697106,COMPLETE
104,1.2038241028785706,2024-04-22 09:53:36.480561,2024-04-22 09:53:51.932138,0 days 00:00:15.451577,0.3722785151045732,836.0,318.0,True,4,4,0.0005967051800236852,0.9452613565298864,3,SGD,0.00010385878665716211,COMPLETE
105,0.8533377349376678,2024-04-22 09:53:51.932427,2024-04-22 09:54:07.340291,0 days 00:00:15.407864,0.31904822467168265,785.0,473.0,True,4,4,0.0008895274770003183,0.9809153741118958,3,SGD,7.922768672747958e-05,COMPLETE
106,1.0700439512729645,2024-04-22 09:54:07.340586,2024-04-22 09:54:22.741087,0 days 00:00:15.400501,0.2761082395009855,779.0,495.0,True,4,4,0.0008436356923576112,0.9932903821091092,3,SGD,7.745878494537876e-05,COMPLETE
